session_id,target
1,7.6970077557e-07
2,5.78413338691e-09
3,2.046552653e-10
4,1.65878740079e-09
5,2.10803596788e-08
6,2.15860795047e-07
7,5.14553358765e-06
8,5.50504904523e-08
9,1.94816168209e-07
10,9.42500912255e-05
11,9.43977495568e-07
12,6.09727184406e-07
13,1.43112066801e-07
14,0.00550861694131
15,3.37193499749e-07
16,5.05554116512e-06
17,0.000306194286637
18,2.40643128047e-08
19,1.48439172979e-05
20,2.60251424762e-07
21,0.00134076170716
22,1.95396729245e-12
23,1.15141024244e-06
24,1.64451593431e-05
25,6.37584325525e-06
26,1.30144063174e-07
27,2.68555843189e-06
28,1.6292309696e-10
29,4.83774816501e-05
30,7.89081398171e-06
31,0.00200605666143
32,0.0359757681313
33,9.87546007911e-06
34,1.04897525902e-09
35,0.000731538169992
36,1.23090233409e-07
37,6.6029572144e-12
38,2.07465933889e-08
39,1.10428470985e-05
40,1.23021434602e-08
41,5.22938348686e-05
42,1.86177460038e-05
43,2.88050435506e-07
44,1.23186605311e-09
45,0.0504106898784
46,2.06119804931e-06
47,3.37334730955e-05
48,3.78818651206e-08
49,5.6196177843e-07
50,1.05773700216e-07
51,2.17664208333e-10
52,4.62961522213e-08
53,0.00021382187012
54,5.06097129368e-08
55,1.11535565248e-05
56,1.29921052373e-05
57,4.12820177423e-11
58,1.05075638903e-10
59,3.15807231339e-08
60,4.43028933654e-10
61,9.39617544524e-08
62,2.64147185296e-06
63,1.72110446798e-08
64,5.48181144789e-05
65,1.86508594464e-07
66,2.22350961552e-08
67,1.2360544771e-05
68,2.99474920332e-05
69,1.95450164044e-05
70,4.88801955582e-08
71,0.000212328963226
72,1.62091530085e-06
73,0.000525678936719
74,2.82191873053e-08
75,1.43015749241e-07
76,5.68808235795e-07
77,1.91904167317e-08
78,0.000149258159599
79,4.87409771051e-08
80,2.1631933796e-08
81,6.23842645732e-08
82,7.18163887489e-09
83,1.56298762769e-10
84,0.0498906177798
85,1.03794202252e-06
86,4.57970289725e-07
87,7.14263172862e-05
88,9.82002834382e-07
89,1.64743046987e-07
